hanzi,pinyin,meaning
乘警,[cheng2 jing3],police on trains
乘车,[cheng2 che1],to ride (in a car or carriage)
乘除,[cheng2 chu2],to multiply and divide
乘隙,[cheng2 xi4],to seize an opportunity
乘风,[cheng2 feng1],to ride the wind
乘风破浪,[cheng2 feng1 po4 lang4],to brave the wind and the billows (idiom); to have high ambitions
乘鹤,[cheng2 he4],to fly on a crane
乘龙,[cheng2 long2],to ride the dragon
乘龙快婿,[cheng2 long2 kuai4 xu4],ideal son-in-law
乙,[yi3],second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]
乙,[zhe2],turning stroke (in Chinese characters)
乙丑,[yi3 chou3],second year B2 of the 60 year cycle, e.g. 1985 or 2045
乙二醇,[yi3 er4 chun2],glycol
乙亥,[yi3 hai4],twelfth year B12 of the 60 year cycle, e.g. 1995 or 2055
乙卯,[yi3 mao3],fifty second year B4 of the 60 year cycle, e.g. 1975 or 2035
乙型,[yi3 xing2],type B
乙型肝炎,[yi3 xing2 gan1 yan2],hepatitis B
乙型脑炎,[yi3 xing2 nao3 yan2],meningitis B
乙基,[yi3 ji1],ethyl group (chemistry)
乙太,[yi3 tai4],variant of 以太[yi3 tai4]
乙巳,[yi3 si4],forty second year B6 of the 60 year cycle, e.g. 1965 or 2025
乙方,[yi3 fang1],second party (law)
乙未,[yi3 wei4],thirty second year B8 of the 60 year cycle, e.g. 1955 or 2015
乙氧基,[yi3 yang3 ji1],ethoxy (chemistry)
乙氨基,[yi3 an1 ji1],ethylamino group
乙炔,[yi3 que1],acetylene
乙烯,[yi3 xi1],ethylene
乙烯基,[yi3 xi1 ji1],vinyl
乙烷,[yi3 wan2],ethane (C2H6)
乙状结肠,[yi3 zhuang4 jie2 chang2],sigmoid colon (anatomy)
乙种,[yi3 zhong3],beta- or type 2
乙种促效剂,[yi3 zhong3 cu4 xiao4 ji4],beta-2 agonist
乙种射线,[yi3 zhong3 she4 xian4],beta ray (electron stream from radioactive decay)
乙种粒子,[yi3 zhong3 li4 zi3],beta particle (electron, esp. high speed electron emitted by radioactive nucleus)
乙肝,[yi3 gan1],hepatitis B
乙脑,[yi3 nao3],meningitis B
乙酉,[yi3 you3],twenty second year B10 of the 60 year cycle, e.g. 2005 or 2065
乙酰,[yi3 xian1],acetyl (chemistry)
乙酰胺吡咯烷酮,[yi3 xian1 an4 bi3 luo4 wan2 tong2],piracetam (C6H10N2O2)
乙酰胆碱,[yi3 xian1 dan3 jian3],acetylcholine ACh (amine related to vitamin B complex)
乙酸,[yi3 suan1],acetic acid (CH3COOH)
乙酸基,[yi3 suan1 ji1],acetyl radical CH3COO-
乙酸根,[yi3 suan1 gen1],acetyl radical CH3COO-
乙酸盐,[yi3 suan1 yan2],acetate CH3COO-
乙醇,[yi3 chun2],ethanol C2H5OH
乙醇酸,[yi3 chun2 suan1],glycolic acid C2H4O3
乙醚,[yi3 mi2],ether
乙醛,[yi3 quan2],acetaldehyde H3CCHO
乚,[ya4],component in Chinese characters
乛,[zhe2],variant of 乙[zhe2]
乜,[mie1],to squint
乜嘢,[mie1 ye3],what? (Cantonese)
乜斜,[mie1 xie5],to squint
九,[jiu3],nine
九一八事变,[Jiu3 Yi1 ba1 Shi4 bian4],the Mukden or Manchurian Railway Incident of 18th September 1931 used by the Japanese as a pretext to annex Manchuria
九三学社,[Jiu3 san1 Xue2 she4],Jiusan Society, one of the eight political parties of the CPC
九九乘法表,[jiu3 jiu3 cheng2 fa3 biao3],multiplication table
九九归一,[jiu3 jiu3 gui1 yi1],nine divide by nine is one (abacus rule)
九九重阳,[Jiu3 jiu3 chong2 yang2],Double Ninth or Yang Festival
九二共识,[Jiu3 Er4 Gong4 shi2],1992 Consensus, statement issued after 1992 talks between PRC and Taiwan representatives, asserting that there is only one China
九份,[Jiu3 fen4],Jiufen (or Jioufen or Chiufen), mountainside town in north Taiwan, former gold mining town, used as the setting for two well-known movies
九分之一,[jiu3 fen1 zhi1 yi1],one ninth
九十,[jiu3 shi2],ninety
九卿,[jiu3 qing1],the Nine Ministers (in imperial China)
九原区,[Jiu3 yuan2 qu1],Jiuyuan district of Baotou city 包頭市|包头市[Bao1 tou2 shi4], Inner Mongolia
九台,[Jiu3 tai2],Jiutai county level city in Changchun 長春|长春, Jilin
九台市,[Jiu3 tai2 shi4],Jiutai county level city in Changchun 長春|长春, Jilin
九天,[jiu3 tian1],the Ninth Heaven
九天揽月,[jiu3 tian1 lan3 yue4],to reach for the stars (idiom)
九天玄女,[Jiu3 tian1 Xuan2 nu:3],Xuan Nü, a fairy in Chinese mythology
九如,[Jiu3 ru2],Chiuju township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan
九如乡,[Jiu3 ru2 xiang1],Chiuju township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan
九孔,[jiu3 kong3],abalone (Haliotis diversicolor)
九孔螺,[jiu3 kong3 luo2],see 九孔[jiu3 kong3]
九官鸟,[jiu3 guan1 niao3],hill myna
九宫山,[Jiu3 gong1 shan1],Jiugongshan nature reserve in Tongshan county, Xianning prefecture 咸宁, Hubei
九宫山镇,[Jiu3 gong1 shan1 zhen4],Jiugongshan town in Tongshan county, Xianning prefecture 咸宁, Hubei
九宫格数独,[jiu3 gong1 ge2 shu4 du2],sudoku (puzzle game)
九寨沟,[Jiu3 zhai4 gou1],Jiuzhaigou Valley, Sichuan
九寨沟县,[Jiu3 zhai4 gou1 xian4],Jiuzhaigou county, Sichuan
九寨沟风景名胜区,[Jiu3 zhai4 gou1 Feng1 jing3 ming2 sheng4 qu1],Jiuzhaigou Valley Scenic and Historical Interest Area, Sichuan
九尾狐,[jiu3 wei3 hu2],nine-tailed fox (mythological creature)
九尾龟,[jiu3 wei3 gui1],nine-tailed turtle of mythology
九层塔,[jiu3 ceng2 ta3],basil
九嶷山,[Jiu3 yi2 shan1],Jiuyi mountain range in Hunan on the border with Guangdong
九州,[Jiu3 zhou1],division of China during earliest dynasties
九巴,[jiu3 ba1],Kowloon Motor Bus Company KMB
九成,[jiu3 cheng2],nine-tenths
九折,[jiu3 zhe2],10% off (price)
九旬老人,[jiu3 xun2 lao3 ren2],nonagenarian
九月,[Jiu3 yue4],September
九月份,[jiu3 yue4 fen4],September
九校联盟,[jiu3 xiao4 lian2 meng2],C9 League
九归,[jiu3 gui1],abacus division rules (using a single-digit divisor)
九死一生,[jiu3 si3 yi1 sheng1],nine deaths and still alive (idiom); a narrow escape
九江,[Jiu3 jiang1],Jiujiang prefecture level city in Jiangxi
九江地区,[Jiu3 jiang1 di4 qu1],Jiujiang prefecture in Jiangxi
九江市,[Jiu3 jiang1 shi4],Jiujiang prefecture level city in Jiangxi
九江县,[Jiu3 jiang1 xian4],Jiujiang county in Jiujiang 九江, Jiangxi
九泉,[jiu3 quan2],the nine springs
九流,[jiu3 liu2],the nine schools of thought, philosophical schools of the Spring and Autumn and Warring States Periods (770-220 BC), viz Confucians 儒家[Ru2 jia1], Daoists 道家[Dao4 jia1], Yin and Yang 陰陽家|阴阳家[Yin1 yang2 jia1], Legalists 法家[Fa3 jia1], Logicians 名家[Ming2 jia1], Mohists 墨家[Mo4 jia1], Diplomats 縱橫家|纵横家[Zong4 heng2 jia1], Miscellaneous 雜家|杂家[Za2 jia1], and Agriculturalists 農家|农家[Nong2 jia1]
九渊,[jiu3 yuan1],abyss
九牛一毛,[jiu3 niu2 yi1 mao2],lit. one hair from nine oxen (idiom)
九牛二虎之力,[jiu3 niu2 er4 hu3 zhi1 li4],tremendous strength (idiom)
九窍,[jiu3 qiao4],nine orifices of the human body (eyes, nostrils, ears, mouth, urethra, anus)
九章算术,[Jiu3 zhang1 Suan4 shu4],The Nine Chapters on the Mathematical Art
九声六调,[jiu3 sheng1 liu4 diao4],nine tones and six modes (tonal system of Cantonese and other southern languages)
九华山,[Jiu3 hua2 shan1],Mt Jiuhua in Anhui, one of the Four Sacred Mountains and Bodhimanda of Kṣitigarbha 地藏
九号球,[jiu3 hao4 qiu2],nine-ball (billiards game)
九边形,[jiu3 bian1 xing2],nonagon
九里,[Jiu3 li3],Liuli district of Xuzhou city 徐州市[Xu2 zhou1 shi4], Jiangsu
九里区,[Jiu3 li3 qu1],Liuli district of Xuzhou city 徐州市[Xu2 zhou1 shi4], Jiangsu
九重霄,[jiu3 chong2 xiao1],ninth heaven
九零后,[jiu3 ling2 hou4],90s generation
九霄云外,[jiu3 xiao1 yun2 wai4],beyond the topmost clouds (idiom)
九面体,[jiu3 mian4 ti3],enneahedron (solid figure having nine plane faces)
九头鸟,[jiu3 tou2 niao3],legendary bird with nine heads (old)
九香虫,[jiu3 xiang1 chong2],brown marmorated stink bug (BMSB)
九鼎,[Jiu3 Ding3],the Nine Tripod Cauldrons, symbol of state power, dating back to the Xia Dynasty
九齿钉耙,[jiu3 chi3 ding1 pa2],The Nine-Toothed Rake (weapon of Zhu Bajie 豬八戒|猪八戒[Zhu1 Ba1 jie4])
九龙,[Jiu3 long2],Kowloon district of Hong Kong
九龙坡,[Jiu3 long2 po1],Jiulongpo district of central Chongqing municipality, formerly in Sichuan
九龙坡区,[Jiu3 long2 po1 qu1],Jiulongpo district of central Chongqing municipality, formerly in Sichuan
九龙城,[Jiu3 long2 cheng2],Kowloon City, Hong Kong
九龙城寨,[Jiu3 long2 Cheng2 zhai4],Kowloon Walled City
九龙县,[Jiu3 long2 xian4],Jiulong county (Tibetan: brgyad zur rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1], Sichuan (formerly in Kham province of Tibet)
乞,[qi3],to beg
乞丐,[qi3 gai4],beggar
乞人,[qi3 ren2],beggar
乞伏,[Qi3 fu2],tribe of the Xianbei 鮮卑|鲜卑 nomadic people
乞休,[qi3 xiu1],to request permission to resign from an official position (old)
乞儿,[qi3 er2],beggar
乞力马扎罗山,[Qi3 li4 ma3 zha1 luo2 shan1],Mt Kilimanjaro in Tanzania
乞和,[qi3 he2],to sue for peace
乞哀告怜,[qi3 ai1 gao4 lian2],begging for pity and asking for help (idiom)
乞恕,[qi3 shu4],to beg forgiveness
乞怜,[qi3 lian2],to beg for pity
乞求,[qi3 qiu2],to beg
乞讨,[qi3 tao3],to beg
乞贷,[qi3 dai4],to beg for a loan
乞食,[qi3 shi2],to beg for food
也,[Ye3],surname Ye
也,[ye3],also
也不例外,[ye3 bu4 li4 wai4],is no exception
也好不了多少,[ye3 hao3 bu5 liao3 duo1 shao3],hardly any better
也好不到哪里去,[ye3 hao3 bu4 dao4 na3 li3 qu4],just as bad
也就是,[ye3 jiu4 shi4],that is
也就是说,[ye3 jiu4 shi4 shuo1],in other words
也有今天,[ye3 you3 jin1 tian1],(coll.) to get one's just deserts
也罢,[ye3 ba4],(reduplicated) whether... or...
也许,[ye3 xu3],perhaps
也门,[Ye3 men2],Yemen
乢,[gai4],ancient variant of 蓋|盖[gai4]
乣,[jiu3],archaic variant of 糺[jiu3]
乤,[xx5],first character in place name 乤浦 "Halpho" (Korean gugja)
乥,[xx5],one of the characters used in kwukyel (phonetic "hol"), an ancient Korean writing system
乧,[xx5],archaic Korean hanja pronounced dul, phonetic 斗 du plus 乙 ul
乨,[shi3],archaic variant of 始[shi3]
乩,[ji1],to divine
乩童,[ji1 tong2],spirit medium
乪,[nang1],a bend in a river (Cantonese)
乫,[xx5],phonetic "gal" used in place names (Korean gugja)
乭,[shi2],rock
乳,[ru3],breast
乳交,[ru3 jiao1],mammary intercourse
乳剂,[ru3 ji4],emulsion
乳化,[ru3 hua4],to emulsify
乳化剂,[ru3 hua4 ji4],emulsifier
乳名,[ru3 ming2],pet name for a child
乳山,[Ru3 shan1],Rushan county level city in Weihai 威海, Shandong
乳山市,[Ru3 shan1 shi4],Rushan county level city in Weihai 威海, Shandong
乳房,[ru3 fang2],breast
乳房摄影,[ru3 fang2 she4 ying3],mammography
乳晕,[ru3 yun4],mammary areola
乳母,[ru3 mu3],wet nurse
乳汁,[ru3 zhi1],milk
乳液,[ru3 ye4],milk
乳源瑶族自治县,[Ru3 yuan2 Yao2 zu2 Zi4 zhi4 xian4],Ruyuan Yao Autonomous County in Shaoguan 韶關|韶关[Shao2 guan1], Guangdong
乳源县,[Ru3 yuan2 Xian4],Ruyuan Yao Autonomous County in Shaoguan 韶關|韶关[Shao2 guan1], Guangdong
乳沟,[ru3 gou1],cleavage (hollow between a woman's breasts)
乳浆,[ru3 jiang1],whey
乳牙,[ru3 ya2],deciduous tooth
乳牛,[ru3 niu2],dairy cattle
乳癌,[ru3 ai2],breast cancer
乳白,[ru3 bai2],milky white
乳白天空,[ru3 bai2 tian1 kong1],whiteout
乳白色,[ru3 bai2 se4],milky white
乳突,[ru3 tu1],mastoid process
乳突窦,[ru3 tu1 dou4],mastoid antrum (bones at the back of tympanic chamber)
乳糖,[ru3 tang2],lactose
乳糖不耐症,[ru3 tang2 bu4 nai4 zheng4],lactose intolerance
乳糜泻,[ru3 mi2 xie4],celiac disease
乳罩,[ru3 zhao4],bra
乳脂,[ru3 zhi1],cream
乳腐,[ru3 fu3],fermented soybean curd
乳腺,[ru3 xian4],mammary gland
乳腺炎,[ru3 xian4 yan2],mastitis
乳腺癌,[ru3 xian4 ai2],breast cancer
乳胶,[ru3 jiao1],latex
乳胶漆,[ru3 jiao1 qi1],latex paint
乳臭未干,[ru3 xiu4 wei4 gan1],smell of mother's milk not yet dried (idiom); immature and inexperienced
乳草,[ru3 cao3],milkweeds (genus Asclepias)
乳制品,[ru3 zhi4 pin3],dairy products
乳猪,[ru3 zhu1],suckling pig
乳部,[ru3 bu4],breasts
乳酪,[ru3 lao4],cheese
乳酪蛋糕,[ru3 lao4 dan4 gao1],cheesecake
乳酸,[ru3 suan1],lactic acid
乳酸菌,[ru3 suan1 jun1],lactic acid bacteria
乳头,[ru3 tou2],nipple
乳头瘤,[ru3 tou2 liu2],papilloma
乳香,[ru3 xiang1],frankincense
乳齿,[ru3 chi3],deciduous tooth
乴,[xue2],to grasp
乵,[yan3],archaic variant of 進|进[jin4]
乶,[Fu3],phonetic pol, used in Korean place name
乶下,[Fu3 xia4],Polha, Korean place name in former Hamgyeongdo Province 咸鏡道|咸镜道[Xian2 jing4 dao4]
乷,[xx5],phonetic "sal" (Korean gugja)
乸,[na3],feminine suffix (Cantonese)
乾,[qian2],old variant of 乾[qian2]
干,[gan1],old variant of 乾|干[gan1]
乺,[xx5],phonetic "sol" used in place names (Korean gugja)
乼,[xx5],rope (Korean gugja)
乾,[Qian2],surname Qian
乾,[qian2],one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven
干,[Gan1],surname Gan
干,[gan1],dry
干俸,[gan1 feng4],sinecure
干儿,[gan1 er2],adopted son (traditional adoption, i.e. without legal ramifications)
干儿,[gan1 r5],dried food
干儿子,[gan1 er2 zi5],adopted son (traditional adoption, i.e. without legal ramifications)
干冰,[gan1 bing1],dry ice (i.e. frozen CO2)
乾嘉三大家,[Qian2 Jia1 san1 da4 jia1],Three great poets of the Qianlong and Jiaqing era (1735-1820), namely: Yuan Mei 袁枚, Jiang Shiquan 蔣士銓|蒋士铨 and Zhao Yi 趙翼|赵翼
干呕,[gan1 ou3],to retch
干哕,[gan1 yue3],to retch
干嚎,[gan1 hao2],to cry out loud without tears
乾坤,[qian2 kun1],Heaven and earth
干女儿,[gan1 nu:3 er2],adopted daughter (traditional adoption, i.e. without legal ramifications)
干娘,[gan1 niang2],adoptive mother (traditional adoption, i.e. without legal ramifications)
干妈,[gan1 ma1],adoptive mother (traditional adoption, i.e. without legal ramifications)
乾安,[Qian2 an1],Qian'an county in Songyuan 松原, Jilin
乾安县,[Qian2 an1 xian4],Qian'an county in Songyuan 松原, Jilin
干尸,[gan1 shi1],mummy
干巴巴,[gan1 ba1 ba1],dry
干打垒,[gan1 da3 lei3],rammed earth
乾旦,[qian2 dan4],male actor playing the female role (Chinese opera)
干旱,[gan1 han4],drought
干旱土,[Gan1 han4 tu3],Aridosols (Chinese Soil Taxonomy)
干杯,[gan1 bei1],to drink a toast
干果,[gan1 guo3],dried fruit
干枯,[gan1 ku1],withered
干梅子,[gan1 mei2 zi5],prunes
干洗,[gan1 xi3],to dry clean
干涸,[gan1 he2],to dry up
干净,[gan1 jing4],clean
干净俐落,[gan1 jing4 li4 luo4],clean and efficient
干净利落,[gan1 jing4 li4 luo5],squeaky clean
干渴,[gan1 ke3],parched
干潮,[gan1 chao2],low tide
干涩,[gan1 se4],dry and rough (skin)
干煸,[gan1 bian1],to stir-fry with oil only (no addition of water)
干煸四季豆,[gan1 bian1 si4 ji4 dou4],fried beans, Sichuan style
干煸土豆丝,[gan1 bian1 tu3 dou4 si1],dry-fried potato slices (Chinese dish)
干燥,[gan1 zao4],to dry (of weather, paint, cement etc)
干燥剂,[gan1 zao4 ji4],desiccant
干燥机,[gan1 zao4 ji1],a drier
干爹,[gan1 die1],adoptive father (traditional adoption, i.e. without legal ramifications)
干爽,[gan1 shuang3],dry and clean
干瘦,[gan1 shou4],wizened
干瘪,[gan1 bie3],dried out
干癣,[gan1 xuan3],psoriasis
干眼症,[gan1 yan3 zheng4],dry eye
干瞪眼,[gan1 deng4 yan3],to watch helplessly
干笑,[gan1 xiao4],to give a hollow laugh
干等,[gan1 deng3],to wait in vain
干粉,[gan1 fen3],dry powder
干粮,[gan1 liang2],rations (to take on expedition)
干粮袋,[gan4 liang2 dai4],knapsack (for provisions)
乾县,[Qian2 Xian4],Qian County in Xianyang 咸陽|咸阳[Xian2 yang2], Shaanxi
干脆,[gan1 cui4],straightforward
干脆利索,[gan1 cui4 li4 suo5],see 乾脆利落|干脆利落[gan1 cui4 li4 luo5]
干脆利落,[gan1 cui4 li4 luo5],(of speech or actions) direct and efficient
干草,[gan1 cao3],hay
干菜,[gan1 cai4],dried vegetable
干着急,[gan1 zhao2 ji2],to worry helplessly
干姜,[gan1 jiang1],dried ginger
干号,[gan1 hao2],to cry out loud without tears
干衣,[gan1 yi1],drysuit (diving)
干裂,[gan1 lie4],(of dry soil, skin etc) to crack
干贝,[gan1 bei4],conpoy
干货,[gan1 huo4],dry goods
干透,[gan1 tou4],to dry out
干酪,[gan1 lao4],cheese
干酪素,[gan1 lao4 su4],casein
乾陵,[Qian2 ling2],Qianling at Xianyang 咸陽市|咸阳市 in Shaanxi, burial site of third Tang emperor 高宗 and empress Wuzetian 武則天|武则天
乾隆,[Qian2 long2],Qianlong Emperor (1711-1799), sixth Qing emperor, princely title 寶親王|宝亲王[Bao3 Qin1 wang2], personal name 弘曆|弘历[Hong2 li4], reigned 1735-1799
干饭,[gan1 fan4],cooked and dried rice
干馏,[gan1 liu2],to carbonize
乿,[luan4],archaic variant of 亂|乱[luan4]
乿,[zhi4],archaic variant of 治[zhi4]
亀,[gui1],old variant of 龜|龟[gui1]
乾,[qian2],variant of 乾[qian2]
干,[gan1],variant of 乾|干[gan1]
乱,[luan4],in confusion or disorder
乱七八糟,[luan4 qi1 ba1 zao1],everything in disorder (idiom); in a hideous mess
乱世,[luan4 shi4],the world in chaos
乱世佳人,[Luan4 shi4 Jia1 ren2],Gone with the Wind (film)
乱丢,[luan4 diu1],to discard in the wrong place (cigarette butts etc)
乱作决定,[luan4 zuo4 jue2 ding4],to make arbitrary decisions
乱来,[luan4 lai2],to act recklessly
乱伦,[luan4 lun2],incest
乱动,[luan4 dong4],to fiddle with
乱叫,[luan4 jiao4],to inconsiderately shout
乱吃,[luan4 chi1],to eat indiscriminately
乱咕攘,[luan4 gu1 rang5],to disturb (dialect)
乱哄哄,[luan4 hong1 hong1],noisy and in disarray
乱套,[luan4 tao4],in a mess
乱写,[luan4 xie3],to write without basis
乱弹琴,[luan4 tan2 qin2],to talk nonsense
乱成一团,[luan4 cheng2 yi1 tuan2],in a great mess
乱扔,[luan4 reng1],to litter
乱抓,[luan4 zhua1],to claw wildly
乱掉,[luan4 diao4],to throw away
乱搞,[luan4 gao3],to make a mess
乱搞男女关系,[luan4 gao3 nan2 nu:3 guan1 xi4],to be promiscuous
乱政,[luan4 zheng4],to corrupt politics
乱数,[luan4 shu4],random number
乱民,[luan4 min2],rebels
乱画,[luan4 hua4],to doodle
乱真,[luan4 zhen1],to pass off as genuine
乱石,[luan4 shi2],rocks
乱石砸死,[luan4 shi2 za2 si3],to stone to death
乱码,[luan4 ma3],mojibake (nonsense characters displayed when software fails to render text according to its intended character encoding)
乱穿马路,[luan4 chuan1 ma3 lu4],to jaywalk
乱窜,[luan4 cuan4],to flee in disarray
乱糟糟,[luan4 zao1 zao1],chaotic
乱纪,[luan4 ji4],to break the rules
乱臣贼子,[luan4 chen2 zei2 zi3],rebels and traitors (idiom)
乱花,[luan4 hua1],to spend recklessly
乱花钱,[luan4 hua1 qian2],to spend money recklessly
乱蓬蓬,[luan4 peng1 peng1],disheveled
乱视,[luan4 shi4],astigmatism (medicine) (Tw)
乱说,[luan4 shuo1],to talk drivel
乱讲,[luan4 jiang3],to talk nonsense
乱象,[luan4 xiang4],chaos
乱跑,[luan4 pao3],to run around all over the place
乱跳,[luan4 tiao4],to jump about
乱道,[luan4 dao4],see 亂說|乱说[luan4 shuo1]
乱麻,[luan4 ma2],lit. tangled skein
乱党,[luan4 dang3],the rebel party
亃,[lin2],mythical animal, said to have yellow body and white tail
亄,[yi4],covetous
亅,[jue2],"vertical stroke with hook" radical in Chinese characters (Kangxi radical 6)
了,[le5],(modal particle intensifying preceding clause)
了,[liao3],to finish
了不起,[liao3 bu5 qi3],amazing
了了,[liao3 liao3],to realize clearly
了事,[liao3 shi4],to dispose of a matter
了债,[liao3 zhai4],to repay one's debt
了却,[liao3 que4],to resolve
了却此生,[liao3 que4 ci3 sheng1],to die
了去了,[le5 qu4 le5],(coll.) (after adjectives such as 多, 大, 远, 高) very
了如指掌,[liao3 ru2 zhi3 zhang3],to know sth like the back of one's hand (idiom)
了局,[liao3 ju2],end
了得,[liao3 de5],exceptional
了断,[liao3 duan4],to settle (a dispute etc)
了无新意,[liao3 wu2 xin1 yi4],unoriginal
了然,[liao3 ran2],to understand clearly
了然于胸,[liao3 ran2 yu2 xiong1],to be well aware of sth
了当,[liao3 dang4],frank
了结,[liao3 jie2],to settle
了若指掌,[liao3 ruo4 zhi3 zhang3],see 了如指掌[liao3 ru2 zhi3 zhang3]
了解,[liao3 jie3],to understand
亇,[ge4],variant of 個|个[ge4]
予,[yu2],(archaic) I
予,[yu3],to give
予人口实,[yu3 ren2 kou3 shi2],to give cause for gossip
予以,[yu3 yi3],to give
予以照顾,[yu3 yi3 zhao4 gu4],to ask somebody to carefully consider a request (idiom)
亊,[shi4],variant of 事[shi4]
事,[shi4],matter
事不宜迟,[shi4 bu4 yi2 chi2],the matter should not be delayed
事不过三,[shi4 bu4 guo4 san1],a thing should not be attempted more than three times (idiom)
事不关己,[shi4 bu4 guan1 ji3],a matter of no concern to oneself (idiom)
事不关己，高高挂起,[shi4 bu4 guan1 ji3 , gao1 gao1 gua4 qi3],to feel unconcerned and let matters rest (idiom)
事主,[shi4 zhu3],victim (of a criminal)
事事,[shi4 shi4],everything
事件,[shi4 jian4],event
事件相关电位,[shi4 jian4 xiang1 guan1 dian4 wei4],event-related potential
事例,[shi4 li4],example
事倍功半,[shi4 bei4 gong1 ban4],twice the effort for half the result
事假,[shi4 jia4],leave of absence
事先,[shi4 xian1],in advance
事先通知,[shi4 xian1 tong1 zhi1],preliminary notification
事儿,[shi4 r5],one's employment
事儿B,[shi4 r5 B],(coll.) fussbudget
事儿妈,[shi4 r5 ma1],(coll.) fussbudget
事典,[shi4 dian3],encyclopedia
事到今日,[shi4 dao4 jin1 ri4],under the circumstances
事到如今,[shi4 dao4 ru2 jin1],as matters stand
事到临头,[shi4 dao4 lin2 tou2],when things come to a head (idiom)
事前,[shi4 qian2],in advance
事务,[shi4 wu4],(political, economic etc) affairs
事务律师,[shi4 wu4 lu:4 shi1],solicitor (law)
事务所,[shi4 wu4 suo3],business office
事务所律师,[shi4 wu4 suo3 lu:4 shi1],office lawyer
事务繁忙,[shi4 wu4 fan2 mang2],busy
事势,[shi4 shi4],state of affairs
事半功倍,[shi4 ban4 gong1 bei4],half the work, twice the effect (idiom); the right approach saves effort and leads to better results
事危累卵,[shi4 wei1 lei3 luan3],lit. the matter has become a pile of eggs (idiom); fig. at a critical juncture
事在人为,[shi4 zai4 ren2 wei2],the matter depends on the individual (idiom); it is a matter for your own effort
事奉,[shi4 feng4],to serve
事宜,[shi4 yi2],matters
事实,[shi4 shi2],fact
事实上,[shi4 shi2 shang4],in fact
事实胜于雄辩,[shi4 shi2 sheng4 yu2 xiong2 bian4],Facts speak louder than words. (idiom)
事实婚,[shi4 shi2 hun1],common-law marriage
事实求是,[shi4 shi2 qiu2 shi4],to seek the truth from facts
事后,[shi4 hou4],after the event
事后聪明,[shi4 hou4 cong1 ming5],wise after the event (idiom); with hindsight, one should have predicted it
事后诸葛亮,[shi4 hou4 Zhu1 ge3 Liang4],a genius in retrospect (idiom); hindsight is 20-20
事必躬亲,[shi4 bi4 gong1 qin1],to attend to everything personally
事怕行家,[shi4 pa4 hang2 jia1],an expert always produces the best work (idiom)
事情,[shi4 qing5],affair
事情要做,[shi4 qing2 yao4 zuo4],work that needs to be done
事态,[shi4 tai4],situation
事态发展,[shi4 tai4 fa1 zhan3],course of events
事故,[shi4 gu4],accident
事故照射,[shi4 gu4 zhao4 she4],accidental exposure
事业,[shi4 ye4],undertaking
事业心,[shi4 ye4 xin1],devotion to one's work
事业有成,[shi4 ye4 you3 cheng2],to be successful in business
事业线,[shi4 ye4 xian4],(slang) cleavage
事机,[shi4 ji1],confidential aspects of a matter
事权,[shi4 quan2],position
事求是,[shi4 qiu2 shi4],to seek the truth from facts
事无大小,[shi4 wu2 da4 xiao3],see 事無巨細|事无巨细[shi4 wu2 ju4 xi4]
事无巨细,[shi4 wu2 ju4 xi4],lit. things are not separated according to their size (idiom)
事物,[shi4 wu4],thing
事理,[shi4 li3],reason
事由,[shi4 you2],main content
事界,[shi4 jie4],event horizon
事略,[shi4 lu:e4],biographical sketch
事发地点,[shi4 fa1 di4 dian3],the scene of the incident
事发时,[shi4 fa1 shi2],the time of the incident
事端,[shi4 duan1],disturbance
事与愿违,[shi4 yu3 yuan4 wei2],things turn out contrary to the way one wishes (idiom)
事证,[shi4 zheng4],evidence
事变,[shi4 bian4],incident
事迹,[shi4 ji4],deed
事过境迁,[shi4 guo4 jing4 qian1],The issue is in the past, and the situation has changed (idiom).
事关,[shi4 guan1],to concern
事项,[shi4 xiang4],matter
事体,[shi4 ti3],things
二,[er4],two
二一添作五,[er4 yi1 tian1 zuo4 wu3],lit. one half equals zero point five (division rule in abacus reckoning)
二丁醚,[er4 ding1 mi2],dibutyl ether
二七区,[Er4 qi1 Qu1],Erqi District of Zhengzhou City 鄭州市|郑州市[Zheng4 zhou1 Shi4], Henan
二世,[er4 shi4],the Second (of numbered kings)
二人世界,[er4 ren2 shi4 jie4],world with only two people (usually refers to a romantic couple)
二人台,[er4 ren2 tai2],genre of song-and-dance duet popular in Inner Mongolia
二人转,[er4 ren2 zhuan4],genre of song-and-dance duet popular in northeast China
二代,[er4 dai4],secondary
二伏,[er4 fu2],same as 中伏[zhong1 fu2], last ten days of July and first ten days of August, the second of 三伏[san1 fu2], three hottest periods of the year
二来,[er4 lai2],in the second place
二便,[er4 bian4],urination and defecation
二倍体,[er4 bei4 ti3],diploid (in cell biology)
二侧,[er4 ce4],two sides
二价,[er4 jia4],negotiable price
二元,[er4 yuan2],duality
二元论,[er4 yuan2 lun4],dualism, belief that the universe is made of two different substance (e.g. mind and matter or good and evil)
二元醇,[er4 yuan2 chun2],ethyl alcohol C2H5OH
二八,[er4 ba1],16
